N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
6000	90.9	51.9	66.3	44.6	12.5	4.9	63.9197548805644	68.8559322033898	178	2060	176	0.838509316770186	0.388888888888889	10000	66.0743697478992	53.32696122633	7.04022988505747	BUSCO
200	82.8	51.4	57.7	41	8.7	3.8	59.9825995175782	62.9892046413394	123	1836	262	0.768633540372671	0.166666666666667	10000	63.4265275707899	47.9371833839919	5.2896	BUSCO
7000	90.9	51.5	66.4	44.3	12.4	4.9	63.8689499594063	68.6659772492244	176	2093	178	0.838509316770186	0.444444444444444	10000	65.749297752809	53.1439927732611	7.0242774566474	BUSCO
800	86.6	53.1	64.9	44.9	11.4	4.8	63.8208302011242	68.0259916235526	162	1909	221	0.84472049689441	0.333333333333333	10000	65.8333571939871	53.0785063752277	6.75555555555556	BUSCO
3000	91.9	68	71.2	59.9	17.5	10.5	73.6466554627698	83.2347226829318	249	967	183	0.880434782608696	0.333333333333333	2500	78.1638524077549	65.0630053394355	13.125	BUSCO
4000	91.1	67.6	71.5	59.4	17	10.1	72.7233765703806	81.880357616683	242	979	190	0.889751552795031	0.333333333333333	2500	77.610081915564	64.890756302521	12.6715867158672	BUSCO
1000	91.3	70.1	69.6	61.3	16.9	10.7	74.6343407585675	83.812400542229	240	866	197	0.84472049689441	0.388888888888889	2500	79.3076827757125	65.1868601986249	13.1036231884058	BUSCO
1500	91.7	68.5	70.4	60.4	16.5	9.9	73.8689772569317	83.1707027540361	235	970	187	0.852484472049689	0.388888888888889	2500	78.4200998751561	65.0177370030581	12.375	BUSCO
7000	90.9	66.8	71.6	59	17.5	10.2	72.6075373904239	81.4946682888428	249	1024	189	0.888198757763975	0.444444444444444	2500	77.0084971464807	64.6921898928024	12.8880866425993	BUSCO
200	85.5	73.2	59.6	60.7	12.8	9.2	72.06518630851	79.9584292768695	183	678	254	0.763975155279503	0.333333333333333	2500	78.8733459357278	60.1449709060682	10.7054545454545	BUSCO
5000	90.8	67.2	71.7	59.2	16.9	10	72.2410598365283	81.7164179104478	240	988	191	0.889751552795031	0.333333333333333	2500	77.2374683544304	64.8531703590527	12.5650557620818	BUSCO
800	90.9	70.6	69	61.7	16.8	10.6	74.7208450812888	84.1251034378996	239	880	191	0.829192546583851	0.444444444444444	2500	79.4741795665635	65.1461361897475	12.9985401459854	BUSCO
2000	91.8	68.4	70.6	60.2	16.5	9.9	74.4748472998742	83.7555370342256	235	977	187	0.861801242236025	0.5	2500	78.3910112359551	64.9865443425076	12.375	BUSCO
8000	91	67	71.8	59	17.7	10.3	73.2927658659299	81.7120622568093	251	1029	189	0.87888198757764	0.444444444444444	2500	77.1772151898734	64.7737003058104	13.0221428571429	BUSCO
500	89.6	71.9	66.6	62.2	15.8	10.5	74.6716586978947	83.6781609195402	226	797	208	0.813664596273292	0.5	2500	79.7800619195046	64.3248447204969	12.615969581749	BUSCO
6000	90.9	67.1	71.7	59.3	17	10	72.5608803127775	81.6011235955056	241	999	188	0.894409937888199	0.333333333333333	2500	77.2074683544304	64.9131297709924	12.5925925925926	BUSCO
5000	91.1	66.8	71.6	59.1	16.8	9.8	72.9084286178606	80.9068266727046	239	1036	188	0.885093167701863	0.277777777777778	2500	77.0801773274224	64.7522570772762	12.3789473684211	BUSCO
4000	91.3	67.2	71.5	59.2	17.3	10.2	73.1863456419081	82	245	994	191	0.891304347826087	0.333333333333333	2500	77.4177917981072	64.7712318286152	12.8334545454545	BUSCO
3000	91.2	68.2	71.5	60	16.8	10.3	73.3431145692691	83.2703031169574	238	925	190	0.883540372670807	0.388888888888889	2500	78.040652446675	65.2471482889734	12.770479704797	BUSCO
