N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
200	86.5	74.7	63.4	61.3	12.7	9.7	73.0116258464168	80.6818181818182	180	598	275	0.813664596273292	0.444444444444444	2500	80.1681141439206	62.3323175621492	10.9991071428571	PacBio
2000	92.5	70.9	72.1	62.8	18.2	11.4	75.4897324166506	85.4053189245795	258	886	197	0.877329192546584	0.388888888888889	2500	80.2723378212974	67.1294292068199	14.0189189189189	PacBio
4000	93	69.8	72.5	61.8	18.5	11.1	75.3666326090553	85.1509115408582	262	953	182	0.874223602484472	0.388888888888889	2500	79.7469287469287	66.7237527922561	13.875	PacBio
1000	92.2	70.9	70.4	61.8	16.5	10.4	74.7607998159512	84.3065693430657	235	879	193	0.850931677018634	0.555555555555556	2500	80.1591661557327	65.8202723146747	12.7583643122677	PacBio
7000	93.1	69.6	72.7	61.8	18.4	11	75.3117838653151	85.0314320528131	261	961	181	0.874223602484472	0.333333333333333	2500	79.6528580208974	66.8083271375465	13.7687074829932	PacBio
1500	92.6	70.2	71.7	61.8	17.5	10.9	75.199025161713	84.8053316901523	250	902	189	0.877329192546584	0.444444444444444	2500	79.858968058968	66.3829213483146	13.4330985915493	PacBio
6000	93	69.6	72.4	61.9	18.5	11.1	75.0801390398637	84.9162360463819	263	965	184	0.874223602484472	0.388888888888889	2500	79.6162361623616	66.7395383469844	13.875	PacBio
3000	92.9	69.8	72.4	62	17.7	10.7	75.3555745256602	84.9829351535836	252	957	186	0.877329192546584	0.333333333333333	2500	79.7101413644745	66.7976190476191	13.337323943662	PacBio
2000	92.9	64.9	70.4	57.1	15.8	8.4	72.5758064601467	81.4141414141414	225	1259	181	0.869565217391304	0.388888888888889	5000	76.4158428390368	63.0563137254902	10.9685950413223	PacBio
800	92.1	66.6	68.7	57.7	14.9	8.5	72.5940735858209	80.4081632653061	212	1099	192	0.854037267080745	0.222222222222222	5000	77.3013232514178	62.7213607594937	10.8247863247863	PacBio
5000	93.2	64.9	71.3	57.6	16.9	8.9	72.7475720800719	81.6703930501282	240	1252	174	0.863354037267081	0.388888888888889	5000	76.5171410499684	63.721955003879	11.6596899224806	PacBio
1000	92.1	66.5	69.8	58.1	15.7	8.8	73.0458627784456	81.6901408450704	223	1129	185	0.863354037267081	0.222222222222222	5000	77.233921815889	63.4148553557467	11.2783673469388	PacBio
1500	92.8	65.7	70.3	57.8	15.4	8.4	72.8266091093811	81.6901408450704	219	1204	184	0.868012422360248	0.388888888888889	5000	76.9332492113565	63.44012490242	10.8705882352941	PacBio
4000	93.3	64.5	71.2	57.1	16.6	8.7	72.6913483555245	81.5789473684211	236	1281	176	0.860248447204969	0.333333333333333	5000	76.2718631178707	63.3752143413874	11.4166007905138	PacBio
7000	93.2	65	71.5	57.8	16.8	8.9	73.0790149416447	81.9780775716695	238	1234	172	0.874223602484472	0.277777777777778	5000	76.5865992414665	63.9242072699149	11.6357976653696	PacBio
200	87.5	68.8	57.4	55.3	11.3	6.9	66.9107783612027	73.4501672569855	160	884	218	0.714285714285714	0.222222222222222	5000	77.0313499680102	56.3304347826087	8.56813186813187	PacBio
3000	93.1	64.6	70.9	57.2	16.3	8.5	72.6425325914555	81.6753926701571	231	1270	171	0.863354037267081	0.333333333333333	5000	76.2746987951807	63.3174082747853	11.1733870967742	PacBio
6000	93.2	65	71.4	57.7	16.8	8.9	73.0947267225197	81.9780775716695	239	1241	171	0.875776397515528	0.333333333333333	5000	76.5865992414665	63.8230828814872	11.6357976653696	PacBio
500	91.6	67	67.2	57.3	14	8	71.9375310050492	79.6482366681517	199	1083	188	0.833850931677019	0.5	5000	77.3921815889029	61.8563855421687	10.1818181818182	PacBio
500	91.5	66.5	65.8	56.9	14.1	8.1	71.0136438454511	79.7210300429185	200	1066	198	0.816770186335404	0.444444444444444	5000	77.0221518987342	61.0272208638957	10.2891891891892	PacBio
5000	93.2	64.6	71.3	57.3	16.1	8.5	72.5306908537054	81.2342569269521	229	1256	169	0.866459627329193	0.277777777777778	5000	76.3082382762991	63.5379471228616	11.1260162601626	PacBio
1000	92.5	67.5	69.8	59.2	15.6	9.1	73.2459749294784	82.3109843081312	223	1023	186	0.84472049689441	0.388888888888889	5000	78.046875	64.064496124031	11.4947368421053	PacBio
6000	93.2	64.6	71.2	57.2	16.3	8.6	72.805557841519	81.5324257449031	232	1259	165	0.868012422360248	0.333333333333333	5000	76.3082382762991	63.4367601246106	11.259437751004	PacBio
2000	93.1	65.8	71	58	16.5	9.1	72.8427577750742	81.4946682888428	234	1142	179	0.852484472049689	0.444444444444444	5000	77.104845814978	63.8449612403101	11.73046875	PacBio
1500	93	66.8	71.1	58.8	15.5	8.9	73.1689821318407	82.3109843081312	220	1074	190	0.858695652173913	0.444444444444444	5000	77.7521902377972	64.3676674364896	11.3073770491803	PacBio
3000	93.3	64.6	71.3	57.1	16.4	8.8	72.6662832692979	81.6487403385298	233	1227	174	0.864906832298137	0.333333333333333	5000	76.3417352754908	63.4147975077882	11.4539682539683	PacBio
200	88.7	66.6	59.8	55.3	11.2	6.7	68.7771686419671	75.0442477876106	159	980	232	0.754658385093168	0.277777777777778	5000	76.0775273663876	57.4620330147698	8.38435754189944	PacBio
800	92.3	67.1	68.7	58.4	15.6	9	72.5349832298641	81.6254603954109	222	1047	186	0.822981366459627	0.5	5000	77.7080301129235	63.1326514555468	11.4146341463415	PacBio
7000	93.2	65	71.5	57.7	16.6	8.8	72.9178540875472	81.858407079646	236	1231	172	0.874223602484472	0.333333333333333	5000	76.5865992414665	63.8630030959752	11.5023622047244	PacBio
4000	93.2	64.7	71.4	57.2	16.3	8.7	72.4274533728352	81.4824480696415	231	1228	171	0.858695652173913	0.333333333333333	5000	76.3779607346422	63.5160186625194	11.3448	PacBio
4000	93.2	64.9	71.3	57.5	17.2	9.1	73.0766165501409	82.0431769869972	244	1238	172	0.874223602484472	0.333333333333333	5000	76.5171410499684	63.6607142857143	11.9026615969582	PacBio
6000	93.2	64.9	71.3	57.5	16.1	8.5	73.1204471125681	81.7120622568093	229	1250	170	0.872670807453416	0.333333333333333	5000	76.5171410499684	63.6607142857143	11.1260162601626	PacBio
7000	93.2	65.1	71.5	57.7	16.7	8.9	72.9904850580902	81.929203539823	237	1228	172	0.875776397515528	0.277777777777778	5000	76.6559696778269	63.8630030959752	11.61171875	PacBio
3000	93.1	65	71.2	57.6	17.1	9.1	72.886220180445	81.5215191922462	243	1241	174	0.860248447204969	0.388888888888889	5000	76.5528146742568	63.6819875776397	11.8786259541985	PacBio
2000	92.8	65.2	70.9	57.7	16.6	8.8	72.4155853332645	80.9061488673139	236	1242	181	0.858695652173913	0.444444444444444	5000	76.5893670886076	63.6225505443235	11.5023622047244	PacBio
1000	92.2	68.5	70.6	60	16	9.4	73.9875599063369	83.3082706766917	227	1029	194	0.857142857142857	0.444444444444444	5000	78.602364654636	64.8698315467075	11.8425196850394	PacBio
5000	93.2	65.1	71.4	57.6	16.1	8.6	73.1757225398839	81.7709466624828	229	1242	178	0.872670807453416	0.333333333333333	5000	76.6559696778269	63.7618604651163	11.2113360323887	PacBio
500	91.2	68.8	68.7	59.2	14.1	8.5	73.9822739728232	83.3097644774187	200	1013	209	0.849378881987578	0.333333333333333	5000	78.432	63.5971853010164	10.6061946902655	PacBio
1500	92.5	66.7	70.5	58.5	16.5	9.2	73.3387357623394	81.7120622568093	234	1144	184	0.861801242236025	0.222222222222222	5000	77.5094221105528	63.9418604651163	11.8132295719844	PacBio
800	91.5	68.9	69.8	60.1	14.9	8.8	74.6215763026611	83.3905760495218	211	1025	197	0.857142857142857	0.388888888888889	5000	78.607855361596	64.5878367975366	11.0649789029536	PacBio
